en,ro
What's your home address?,Care e adresa ta de acasă?
You'd better hand that over.,Ai face bine s-o predai.
"""Hey! It's dangerous to run here."" ""Eh? ... A-a-Aaah!!"" ""Oh dear, what did I tell you?""","- Hei! E periculos să alergi aici. - Cum? A-a-aaa!! - O, dragule, ce ţi-am spus?"
Is he a teacher?,Este profesor?
Tom has a poor memory.,Tom are o memorie slabă.
Nice to meet you.,Îmi pare bine de cunoștință!
"Nice to meet you, Mr. Zhang.","Încântat de cunoștință, domnule Zhang."
Don't let go.,Nu o lăsa.
I've been to Boston several times.,Am fost la Boston de mai multe ori.
The plants need to be watered.,Plantele trebuie să fie udate.
He would be the last to deceive you.,El ar fi ultimul care te-ar păcăli.
Do you like winter?,Îți place iarna?
I have an urge to buy something.,Mă îndeamnă ceva să fac cumpărături.
"Finally, it's snowing!","În sfârșit, ninge!"
Give me your money.,Dă-mi banii tăi.
I told Mary I'd do that for her.,I-am spus lui Mary că voi face asta pentru ea.
"The next morning, the snowman had completely melted.","Dimineața următoare, omul de zăpadă se topise complet."
It's a gray stone building.,Este o clădire din piatră cenușie.
"Unfortunately, my hope was an illusion.","Speranța mea a fost, din păcate, o iluzie."
George's sister made me some sandwiches.,Sora lui George mi-a făcut niște sandvișuri.
"You know, I think that Tom really likes you.","Știi, cred că Tom te place cu adevărat."
I thought this was a hospital.,Am crezut că acesta era un spital.
He made a rude reply.,El a dat o replică grosolană.
Do whatever he tells you.,Faceți orice vă spune.
The Van Horn family was in the chips.,Familia Van Horn era bogată.
Tom said he'd sort it out.,Tom a spus că o va rezolva.
Will you check the tires?,Vei verifica anvelopele?
How fast can you do it?,Cât de repede poți să o faci?
"Afterwards, I did not speak with them.","După aceea, nu am vorbit cu ei."
Tom sat down on the couch beside Mary.,Tom stătea pe canapea lângă Mary.
There were no bounds to his ambition.,Nu există limite pentru ambiția lui.
I couldn't put up with his rudeness.,N-am puteam să tolerez lipsa lui de politeţe.
Tom didn't know what else to do.,Tom nu mai știa ce altceva să facă.
I think Tom is still confused.,Cred că Tom este încă confuz.
How did you get inside? Do you have a key?,Cum ai intrat? Ai avut cheie?
Days are longer than nights.,Zilele sunt mai lungi decât nopțile.
The talks should begin soon.,Dicuțiile ar trebui să înceapă în curând.
You should know better.,Ar trebui să știi mai bine.
He comes to meet me sometimes.,Vine uneori să se întâlnească cu mine.
I'd like to talk to Jean.,Aș vrea să vorbesc cu Jean.
We agreed to refrain from smoking while we are at work.,Ne-am înţeles să ne abţinem de la fumat cât suntem la lucru.
Apparently you are right.,"Aparent, ai dreptate."
I don't have the courage to ask my boss to lend me his car.,Nu am curajul să-i cer şefului meu să-mi împrumute maşina lui.
Hold on to it.,Ține-te bine.
The detective promised to look into the matter right away.,Detectivul a promis că va investiga problema imediat.
We heard the bomb go off.,Am auzit bomba explodând.
"If there is anything you want, don't hesitate to ask me.",Dacă dorești ceva nu ezita să îmi ceri.
Do you really think it helps?,Chiar crezi că ajută?
This was Rodica's fifth book.,Aceasta a fost a cincea carte a Rodicăi.
You are alone.,Ești singur.
Mary is Tom's mother.,Mary este mama lui Tom.
The hero became the villain.,Eroul a devenit personajul negativ.
Hyacinths and fresh-cut grass remind me of my childhood.,Zambilele și iarba proaspăt tăiată îmi amintesc de copilăria mea.
How are we going to impress them?,Cum îi vei impresiona?
I visited Romania a few years ago.,Am vizitat România acum câțiva ani.
"In hard times, in sorrowful times, let's try doing something for other people.","În vremuri grele, în vremuri triste, hai să încercăm să facem ceva pentru alți oameni."
"When the fire broke out, he was sound asleep.","Când a izbucnit focul, el dormea tun."
The island is covered with ice and snow during the winter.,Insula este acoperită de ghiață și zăpadă pe timpul iernii.
I understand Tom's position.,Înțeleg poziția lui Tom.
I think that watching TV is a waste of time.,Cred că este o pierdere de timp să te uiți la televizor.
Wait. Don't shoot yet.,Stai! Nu trage încă.
Now they have three children.,Acum ei au trei copii.
What can I do for you?,Ce pot să fac pentru tine?
I can ski.,Pot să schiez.
The details of the agreement are set forth in the contract.,Detaliile înțelegerii sunt specificate în contract.
He admired my new car.,El mi-a admirat noua mașină.
Tom isn't a fireman.,Tom nu este pompier.
Your name affects your personality.,Numele tău îți înfluențează personalitatea.
He's a star.,El este o vedetă.
"The most perfect ape cannot draw an ape; only man can do that; but, likewise, only man regards the ability to do this as a sign of superiority.","Cea mai desăvârşită maimuță nu poate desena o maimuță; doar omul poate face asta; dar, de asemenea, numai omul consideră abilitatea de a face acest lucru, ca fiind un semn al superiorității."
Can't you hear the sound?,Nu poți auzi sunetul?
We had breakfast.,Am luat micul dejun.
Tom had never met anyone like Mary before.,Tom n-a mai întâlnit înainte pe nimeni ca Mary.
I'm ill.,Sunt bolnav.
Bad news travels fast.,Veştile rele călătoresc repede.
It wasn't an accident.,Nu a fost un accident.
She went to the museum by taxi.,Ea a luat un taxi până la muzeu.
I bet my bottom dollar he is innocent.,Pariez pe ultimii mei bani că el e inocent.
It sounds downright frightening.,Sună de-a dreptul înfricoșător.
I like jazz.,Îmi place jazzul.
The pencil is on the book.,Creionul este pe carte.
"It's a complete mess, and it's getting on my nerves.",Este un dezastru complet și mă calcă pe nervi.
It's easy.,E ușor.
I have a nice present to give you.,Am un cadou frumos să-ţi ofer.
Coffee prices have jumped almost 50% in six months.,Prețul cafelei s-a mărit cu aproape 50% în șase luni.
The storm prevented us from arriving on time.,Furtuna ne-a împiedicat să ajungem la timp.
Our streets flood when it rains.,Străzile noastre se inundă când plouă.
You're on the right track.,Ești pe drumul cel bun.
How many hats do you own?,Câte pălării ai?
Tom clapped his hands.,Tom a aplaudat.
The intricate root system of mangroves makes these forests attractive to fish and other organisms seeking food and shelter from predators.,"Sistemul rădăcinos complicat al mangrovelor, face ca aceste păduri să fie atractive pentru pești și alte organisme, care caută alimente și adăpost, din calea prădătorilor."
I like every fish except for eels.,Îmi plac toți peștii cu excepția țiparilor.
"You like rain, don't you?","Îți place ploaia, nu-i așa?"
Dan was wrongfully convicted of murdering his wife.,Dan a fost condamnat pe nedrept pentru uciderea soției sale.
You're unbiased.,Tu ești imparțial.
I like playing tennis and golf.,Îmi place să joc tenis și golf.
I didn't go to school.,Nu am mers la școală.
This beer contains 5% alcohol.,Această bere conţine 5 % alcool.
This old building isn't worth fixing up. It would be better to tear it down.,Această clădire veche nu merită să fie reparată. Ar fi mai bine să fie demolată.
Father is away now.,Tata e plecat acum.
Are you an active member of the union?,Ești un membru activ al sindicatului?
I'm doubtful.,Am îndoieli.
I love hamburgers.,Îmi plac hamburgerii.
Please give me a glass of water.,Te rog dă-mi un pahar de apă.
She doesn't have a driving licence.,Ea nu are permis de conducere.
"Think globally, act locally.","Gândește global, acționează local."
"The painting looks great, but you hung it a little crooked.","Tabloul arată foarte bine, dar l-ai atârnat un pic strâmb."
I do not read books.,Nu citesc cărți.
Please.,Te rog.
Speak more slowly so that we can understand you.,Vorbește mai rar ca să te înțelegem.
April is the fourth month of the year.,Aprilie este a patra lună a anului.
I was out of breath and sat down.,Am rămas fără respirație și m-am așezat.
What is a think tank?,Ce este un consiliu de experți?
"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","Dacă nu doriți să vă dați cu cremă de protecție solară, e problema dumneavoastră. Dar să nu veniți să vă plângeți la mine când vă veți fi ars."
"Not only Tom has to study, but I have to study, too.",Nu doar Tom trebuie să învețe ci și eu trebuie să învăț.
The most dangerous thing Tom ever tried to do was bungee jumping.,Cel mai periculos lucru pe care Tom l-a făcut vreodată a fost săritura cu coarda elastică.
He has a hard time remembering names.,El are mari greutăți în a-și aminti nume.
This is a very interesting investment opportunity.,Aceasta este o oportunitate de investiție foarte interesantă.
Is this a stallion or a mare?,E asta armasar sau iapa?
Look at that picture on the desk.,Uită-te la poza de pe birou.
Stay home so that you can answer the phone.,Stai acasă pentru a putea răspunde la telefon.
Tom is going to need medical attention.,Tom va avea nevoie de îngrijiri medicale.
Criminals should be punished.,Criminalii trebuie pedepsiți.
Tom isn't a snob.,Tom nu este snob.
"I'm Ricardo, I'm 33 years old and I live in Rio.","Sunt Ricardo, am 33 de ani și locuiesc în Rio."
"Tom turned off the engine, but left the headlights on.",Tom a oprit motorul dar a lăsat luminile aprinse.
I love traveling.,Îmi place să călătoresc.
"She doesn't understand me, either.",Nici ea nu mă înțelege.
It's nearly three o'clock.,Este aproape ora trei.
"Many software companies offer free versions of their products, albeit with limited functionality.","Multe companii de software oferă versiuni gratuite ale produselor lor, dar cu funcționalitate limitată."
Don't be so hard on yourself.,Nu fi așa de strict cu tine însuți.
The process will be messy.,Procesul va fi murdar.
I'm too fat.,Sunt prea gras.
They consider him unfit for the job.,Ei îl consideră inapt pentru slujbă.
You shouldn't have eaten so much ice cream.,N-ar fi trebuit să mănânci atât de multă îngheţată.
Turn down the television.,Dă volumul mai încet la televizor.
It's a lovely day.,E o zi minunată.
Did she lose?,A pierdut?
The benefits outweigh the costs.,Beneficiile sunt mai mari decât costurile.
I am out of work.,Sunt șomer.
I think what you're doing is stupid.,Cred că ceea ce faci e stupid.
I love you so much.,Te iubesc foarte mult.
Prosecutors in court have to substantiate their claims in order to prove a suspect is guilty.,Procurorii în instanță trebuie să-și justifice afirmațiile pentru a demonstra că un suspect este vinovat.
He has money.,Are bani.
Poor sight is a handicap to an athlete.,Vederea slabă este un handicap pentru un atlet.
Let me cut the carrots.,Lasă-mă să tai morcovii.
"Sorry, but I've already won.",Îmi pare rău dar am câștigat deja.
I just want to know what I'm getting involved with.,Vreau doar să știu în ce mă implic.
"Grammar is an empirical science, not a theoretical one.","Gramatica este o știință empirică, nu una teoretică."
At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.,"La vârsta de șase ani, a învățat să folosească mașina de scris și i-a spus profesorului că nu avea nevoie să învețe să scrie de mână."
Who called the police?,Cine a chemat poliția?
Eureka!,Evrica!
I want to publicly complain about that.,Vreau să mă plâng în mod public despre asta.
Enjoy it while you can.,Bucură-te cât mai poți.
I don't speak Japanese.,Nu vorbesc japoneza.
Tom knows we're interested.,Tom știe că ne interesează.
How many more years do you think Tom will have to do that?,Câți ani crezi că Tom va trebui să facă asta?
I'm ashamed of you.,Mi-e rușine de tine.
At most 40 percent of students go on to university.,Cel mult patruzeci la sută dintre studenţi continuă universitatea.
Can you hold on for a second?,Poți să astepți un moment?
He is always trying to do the impossible.,Tot timpul încearcă să facă imposibilul.
